,delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
18,216.0,-1.0402,149.70600000000002,-267.34659999999997,-0.415375,0.0404529999999999,0.016054,0.908609,-31.51469999999999,130.7462,-283.3906,-0.444434,-0.087674,-0.025273,-0.8911530000000001,29.557499999999997,122.6442,-282.2743,-0.325067,0.137354,-0.029528,-0.935197
19,227.0,-1.0484,150.2002,-267.2121,-0.402559,0.040914,0.016036,0.914339,-31.436500000000002,131.8247,-283.07450000000006,-0.462927,-0.0827929999999999,-0.027572,-0.882091,29.525800000000004,123.57979999999999,-282.2637,-0.338474,0.133903,-0.031063,-0.930882
20,238.0,-1.0581,150.6729,-267.0651,-0.390255,0.04122,0.0156539999999999,0.919651,-31.423499999999997,132.8946,-282.7713,-0.480253,-0.077924,-0.031251,-0.8731030000000001,29.4779,124.47,-282.2343,-0.351056,0.1305849999999999,-0.032536,-0.926633
21,249.0,-1.06319999999999,151.1193,-266.8799,-0.378784,0.041586,0.015169,0.924426,-31.36,133.8021,-282.46540000000005,-0.495893,-0.070288,-0.039229,-0.8646450000000001,29.4381,125.27969999999999,-282.2071,-0.361433,0.1281119999999999,-0.034775,-0.9229
22,261.0,-1.0666,151.52609999999999,-266.7018,-0.3684119999999999,0.041906,0.014713,0.928601,-31.287100000000002,134.63909999999998,-282.1701,-0.510997,-0.063073,-0.047896,-0.8559260000000001,29.3842,125.9525,-282.2171,-0.369505,0.126804,-0.037208,-0.919784
23,272.0,-1.0668,151.8827,-266.4839,-0.359305,0.042227,0.014234,0.932156,-31.2353,135.3931,-281.915,-0.524208,-0.054463,-0.0591919999999999,-0.847783,29.336000000000002,126.60549999999999,-282.2135,-0.376877,0.12598,-0.039554,-0.916803
24,283.0,-1.0659,152.2057,-266.2617,-0.351362,0.0425139999999999,0.013774,0.935172,-31.1482,135.9648,-281.7217,-0.533854,-0.046112,-0.074232,-0.8410489999999999,29.2696,127.16179999999999,-282.24,-0.38259,0.126462,-0.041803,-0.914268
25,294.0,-1.0635999999999999,152.5007,-266.04040000000003,-0.34456,0.042692,0.013261,0.937699,-31.0929,136.5009,-281.6266,-0.542301,-0.038439,-0.086207,-0.834865,29.212100000000003,127.68079999999999,-282.2459,-0.387886,0.12811,-0.043666,-0.911716
26,305.0,-1.0602,152.7381,-265.7893,-0.33968,0.042989,0.012791,0.939471,-30.925399999999996,136.80939999999998,-281.58729999999997,-0.54833,-0.032268,-0.092819,-0.830468,29.159200000000002,128.0986,-282.2727,-0.3922989999999999,0.130492,-0.043715,-0.909485
27,316.0,-1.055,152.9623,-265.5541,-0.335499,0.043448,0.012299,0.940958,-30.772,137.22240000000002,-281.53200000000004,-0.555599,-0.026479,-0.0972,-0.825325,29.0873,128.5098,-282.2625,-0.39701,0.132647,-0.040423,-0.907278
