,delta_time_ms,delta_time_s,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
0,0.0,1.3054999999999382,-5.5035,151.0925,-266.7964,-0.995574,-0.01677432,0.08934025,0.02386285,-13.83394,135.7684,-303.4067,0.8361481,0.5041436,-0.1176259,0.1812724,16.933980000000002,98.31395,-281.7971,0.9029807,0.06835844,-0.1519591,-0.3960574
1,14.400000000023283,1.3198999999999614,-5.43021,151.1044,-266.6791,-0.9950277,-0.01648319,0.09514999,0.02438566,-13.81273,135.8063,-303.3616,0.8359541,0.5037388,-0.1180859,0.1829855,17.6289,98.58063,-283.3541,0.9100192,0.08803341,-0.1643629,-0.3702703
2,37.299999999959255,1.3427999999998974,-5.397129,151.1057,-266.6261,-0.9947624,-0.01688721,0.09796697,0.02377353,-13.77428,135.8733,-303.2698,0.8352096,0.5034406,-0.1194054,0.1863197,18.89766,99.06754,-286.1968,0.9198387,0.1233054,-0.1862529,-0.3224939
3,51.199999999994134,1.3566999999999323,-5.365884,151.1058,-266.5741,-0.9945065,-0.01686402,0.1005627,0.02365864,-13.812079999999998,135.84130000000002,-303.17400000000004,0.8352205,0.5052881,-0.1157261,0.1835708,18.73773,103.6335,-286.8652,0.9113611,0.1833315,-0.1572881,-0.3332731
4,65.00000000005457,1.3704999999999927,-5.335283,151.1204,-266.5187,-0.9942752,-0.01677848,0.102876,0.02349313,-13.84486,135.8114,-303.0809,0.8351279,0.5070605,-0.1124389,0.1811311,18.60607,107.8696,-287.5229,0.9000548,0.2386795,-0.1304726,-0.3404563
5,79.70000000000255,1.3851999999999407,-5.3059460000000005,151.1323,-266.47020000000003,-0.9940687,-0.01726552,0.1048092,0.02333193,-13.8352,135.8022,-303.0181,0.8356794,0.5098807,-0.1052967,0.1748553,17.99324,111.9843,-288.04470000000003,0.883387,0.3055258,-0.09635803,-0.3420478
6,94.600000000014,1.4000999999999522,-5.277514,151.1436,-266.427,-0.993876,-0.01803939,0.10649,0.0233422,-13.76548,135.8175,-302.9787,0.8357897,0.5118588,-0.09963447,0.1718405,17.89819,114.6465,-289.071,0.868176,0.35188,-0.07651401,-0.3414622
7,108.69999999999891,1.414199999999937,-5.247927,151.1626,-266.3764,-0.9937012,-0.01865234,0.1079862,0.02342858,-13.69882,135.8314,-302.9379,0.8358071,0.5137689,-0.09433463,0.1690236,17.816489999999998,117.2128,-290.0697,0.851495,0.395691,-0.05760521,-0.3392149
8,122.79999999998381,1.428299999999922,-5.21692,151.183,-266.3312,-0.9935101,-0.01973669,0.1095978,0.02316114,-13.70077,135.8745,-302.94530000000003,0.8375672,0.5136837,-0.08754641,0.1641524,17.84421,119.8099,-290.81,0.8327062,0.4377156,-0.03832033,-0.3369525
9,136.8999999999687,1.4423999999999069,-5.196011,151.19469999999998,-266.29040000000003,-0.99333,-0.02084856,0.1110869,0.02281456,-13.75941,135.8889,-302.8954,0.8391499,0.5112174,-0.08712006,0.1639951,17.95985,121.537,-291.5786,0.8175159,0.4670558,-0.02793947,-0.3357767
