delta_time_ms,delta_time_s,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
0.0,0.0,-4.918515999999999,151.2202,-268.9618,-0.9972629,-0.02934479,0.06366531,0.02350417,,,,,,,,,,,,,,
13.4999999999081,0.0134999999999081,-4.9086810000000005,151.21929999999998,-268.95730000000003,-0.9972639,-0.02902264,0.06377731,0.02355524,,,,,,,,,,,,,,
35.7999999999947,0.0357999999999947,-4.905152,151.2149,-268.9517,-0.9972787,-0.02866477,0.0636229,0.02378408,,,,,,,,,,,,,,
51.8999999999323,0.0518999999999323,-4.904687,151.2135,-268.9533,-0.997287,-0.02851092,0.06358328,0.02372892,,,,,,,,,,,,,,
63.099999999963,0.063099999999963,-4.904187,151.2149,-268.9553,-0.9973015,-0.02841701,0.06348278,0.02349947,,,,,,,,,,,,,,
78.0999999999494,0.0780999999999494,-4.903281000000001,151.2179,-268.9578,-0.9973175,-0.02834528,0.06339035,0.02315428,,,,,,,,,,,,,,
91.099999999983,0.091099999999983,-4.902411,151.21800000000002,-268.95959999999997,-0.9973351,-0.0283657,0.06316327,0.02298689,,,,,,,,,,,,,,
104.7999999999547,0.1047999999999547,-4.904914,151.2166,-268.9616,-0.9973427,-0.02834775,0.06298558,0.02316735,,,,,,,,,,,,,,
118.8999999999396,0.1188999999999396,-4.90334,151.2118,-268.9635,-0.9973671,-0.02814327,0.06274559,0.02301881,,,,,,,,,,,,,,
132.9999999999245,0.1329999999999245,-4.901384999999999,151.208,-268.96569999999997,-0.9973771,-0.02784267,0.06279533,0.02281552,,,,,,,,,,,,,,
146.5999999999212,0.1465999999999212,-4.899657,151.2046,-268.9696,-0.997371,-0.02775261,0.06287021,0.02298469,,,,,,,,,,,,,,
160.1999999999179,0.1601999999999179,-4.894876,151.2036,-268.9714,-0.9973777,-0.02756887,0.06278169,0.02315898,,,,,,,,,,,,,,
174.4999999999663,0.1744999999999663,-4.892778,151.20340000000002,-268.9759,-0.9973791,-0.02750562,0.06274617,0.02326743,,,,,,,,,,,,,,
189.0999999999394,0.1890999999999394,-4.888499,151.2022,-268.9789,-0.9973879,-0.0273069,0.06276242,0.0230807,,,,,,,,,,,,,,
201.8999999999096,0.2018999999999096,-4.882991,151.1993,-268.9814,-0.9973907,-0.02702784,0.06286947,0.02299455,,,,,,,,,,,,,,
215.9999999998945,0.2159999999998945,-4.873538,151.1943,-268.9828,-0.9973971,-0.02662381,0.06291177,0.02307284,,,,,,,,,,,,,,
