,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w,delta_time_ms
696,-58.06308,204.99489999999997,7.827055,0.1373835,-0.6968898,-0.1440465,-0.6890001,-75.13710999999999,158.15019999999998,13.88748,0.1275538,-0.5379432,0.5098987,-0.6590527,-85.73142,140.8961,-7.485479000000001,0.09593952,-0.6596106,-0.249759,-0.7023745,240.0
697,-57.487869999999994,205.332,7.921821,0.1284498,-0.6978015,-0.1364089,-0.6913511,-77.20436000000001,159.5825,13.06068,0.1183591,-0.521355,0.5406509,-0.6495204,-83.40464,141.6723,-8.534908,0.05247034,-0.6603733,-0.2606655,-0.7022873,253.33333333333334
698,-56.915760000000006,205.6595,8.014834,0.1214848,-0.6978484,-0.1275769,-0.6942429,-79.27071,161.0063,12.20918,0.1096325,-0.5091864,0.5647045,-0.6401709,-81.0558,142.3108,-9.679973,0.02503979,-0.6542498,-0.2653531,-0.7077556,266.6666666666667
699,-56.46396,206.113,8.060545,0.1156441,-0.697722,-0.1194017,-0.6968169,-81.30772,162.4151,11.329799999999999,0.1010676,-0.4990274,0.5852612,-0.6310517,-78.70749,142.8741,-10.95227,0.01671663,-0.6419288,-0.2625433,-0.7202216,280.0
700,-56.057449999999996,206.48770000000002,8.110499,0.1080669,-0.698151,-0.1115896,-0.6988953,-83.30317000000001,163.767,10.43107,0.09484857,-0.4865063,0.607161,-0.6210241,-76.3656,143.4249,-12.34744,0.0222616,-0.6281564,-0.250399,-0.7363588,293.33333333333337
701,-55.615809999999996,206.80610000000001,8.202857,0.09997863,-0.6986028,-0.103365,-0.7009096,-85.28037,164.9843,9.524682,0.0924205,-0.4697184,0.6317744,-0.6096591,-74.01658,143.95329999999998,-13.81279,0.02463071,-0.617144,-0.2359973,-0.7502211,306.6666666666667
702,-55.16691,207.0827,8.289719,0.09280506,-0.6990708,-0.09575551,-0.7025086,-87.2696,166.0345,8.625787,0.09508508,-0.4469022,0.6596397,-0.5967518,-71.65536,144.3878,-15.35716,0.01660147,-0.6022373,-0.2375071,-0.7619875,320.0
703,-54.712559999999996,207.2618,8.346176,0.08567004,-0.6996233,-0.08907001,-0.7037432,-89.2347,166.9239,7.747471,0.1033317,-0.420046,0.6900646,-0.5802541,-69.29449,144.7695,-16.97709,-0.005754902,-0.5774114,-0.2554847,-0.7754291,333.33333333333337
704,-54.31564,207.4453,8.380777,0.0784606,-0.7005586,-0.08382799,-0.7042971,-91.14765,167.695,6.905842,0.1114862,-0.3885438,0.7216505,-0.5619832,-66.93,145.14800000000002,-18.62679,-0.03444555,-0.548073,-0.2750581,-0.7891594,346.6666666666667
705,-53.91738,207.5655,8.447766,0.07036381,-0.7018712,-0.07950516,-0.704347,-93.03681999999999,168.3396,6.127566,0.1187191,-0.3562907,0.7496938,-0.5449055,-64.60616999999999,145.5507,-20.25814,-0.0591939,-0.5179913,-0.2918867,-0.8018622,360.0
706,-53.52669,207.6318,8.535415,0.06249563,-0.7038388,-0.07681169,-0.703424,-94.89909,168.8752,5.412716,0.1268502,-0.3290676,0.7733318,-0.5268602,-62.325050000000005,145.9864,-21.84348,-0.07573806,-0.4909417,-0.3063118,-0.8120426,373.33333333333337
707,-53.11096,207.606,8.622509,0.05591152,-0.7058476,-0.07406627,-0.7022587,-96.73599,169.3927,4.745638,0.1337761,-0.3055935,0.7926394,-0.5103328,-60.06005,146.5549,-23.37793,-0.09011345,-0.4675222,-0.3144899,-0.8212178,386.6666666666667
708,-52.668380000000006,207.5222,8.66909,0.05230346,-0.707486,-0.07185251,-0.701117,-98.46958000000001,169.6851,4.218507,0.1389902,-0.2891449,0.8065537,-0.4965361,-57.802240000000005,147.3104,-24.918770000000002,-0.09471684,-0.4457921,-0.3113733,-0.8338733,400.0
709,-52.31342,207.498,8.641672,0.05059998,-0.7082976,-0.07047511,-0.7005622,-100.16149999999999,169.991,3.7504139999999997,0.1488973,-0.2687598,0.8209271,-0.4813275,-55.519529999999996,148.3237,-26.49631,-0.1029562,-0.4183446,-0.3010581,-0.8507361,413.33333333333337
710,-51.986529999999995,207.46370000000002,8.625239,0.0484952,-0.7087049,-0.06975871,-0.7003708,-101.7493,170.10670000000002,3.500074,0.1648366,-0.2420789,0.8362088,-0.463661,-53.216229999999996,149.5543,-28.10043,-0.1185352,-0.3855091,-0.2893794,-0.8680965,426.6666666666667
711,-51.70403,207.38439999999997,8.65199,0.04561456,-0.7090802,-0.06972185,-0.7001883,-103.2495,170.12460000000002,3.4770549999999996,0.1842089,-0.2066961,0.8509793,-0.4462937,-50.98184,150.87619999999998,-29.64851,-0.1381904,-0.3527372,-0.2928411,-0.8779088,440.0
712,-51.34976,207.23940000000002,8.736992,0.04310289,-0.7095056,-0.06886657,-0.7000009,-104.64880000000001,170.0727,3.6967930000000004,0.2090093,-0.1649447,0.8629398,-0.4294686,-48.80861,152.2623,-31.11712,-0.1635126,-0.3202646,-0.3065085,-0.8813323,453.33333333333337
713,-51.03881,207.1617,8.742446,0.04131794,-0.7101069,-0.06883662,-0.6995016,-105.9643,169.9888,4.154164,0.2358755,-0.1195626,0.8727651,-0.4103034,-46.71079,153.90699999999998,-32.51491,-0.1930463,-0.2855376,-0.3228828,-0.8814465,466.6666666666667
714,-50.80276,207.0901,8.749825,0.03862116,-0.7111766,-0.07076311,-0.6983758,-107.18620000000001,169.9227,4.816478,0.2627454,-0.07422972,0.8817117,-0.3847585,-44.65253,155.79639999999998,-33.81504,-0.2209852,-0.251265,-0.3332122,-0.8814766,480.0
