delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,head_rot_w,left_hand_rot_w,right_hand_rot_w
0.0,-5.806,175.912,-18.09,0.010854610363628225,-0.05503251386153195,0.04559270944403262,-28.929,116.352,9.371,0.24312735467105506,-0.0027861482299855883,-0.23924776013476395,6.48,143.237,10.13,0.11721194176668497,0.04561627304173011,-0.43075470237211055,0.9973840307010564,0.9400222529595742,0.8936615146269754
0.0,5.815,175.93,-18.468,-0.012798270031186419,-0.08062189373520882,0.07046794232605816,-25.573,127.196,8.452,0.2559295711898779,0.1939108018139037,-0.34804978593019853,18.74,138.186,13.542,-0.18126742455049644,-0.17645800010642493,-0.13301550458756622,0.9941682873835239,0.8807723894652905,0.9582857457640629
0.0,6.683,175.834,-18.53,-0.024040584875959094,-0.08472498702325038,0.07967047397011146,-24.269,127.323,8.687,0.26083192526339505,0.17344560916317786,-0.3418798736356058,18.011,138.69,12.653,0.06801718511855805,-0.018018674719648426,-0.3017423152939001,0.9929231301717719,0.8860030922227682,0.9507894430687439
0.0,2.769,176.181,-15.161,-0.06043096211877183,-0.01988067350608543,0.05502896934520772,-20.084,144.8,6.957,0.02936487744598184,-0.03145676428478385,-0.4823884895401722,19.388,153.798,2.432,-0.12812833217913994,0.02767205323475897,-0.6360477687954772,0.9964560553136039,0.8748997206037189,0.7604344967011029
12.939,2.129,176.072,-15.019,-0.06148253467322937,-0.013969646747966698,0.05688126585087042,-20.074,146.569,6.225,0.021355635160037186,-0.024141881145645083,-0.5161761255726729,19.436,154.62,1.728,-0.13155152813258397,0.001284239893238115,-0.6483237293618922,0.9963881113778379,0.8558757583963021,0.7499125869860879
25.635,1.451,175.938,-14.902,-0.06077389605023545,-0.008979064627839595,0.06077389605023545,-20.246,148.069,5.576,0.0167908703130474,-0.019887153538783172,-0.54581299104577,19.388,155.201,1.281,-0.13163744633738791,-0.01808724087651082,-0.6548688465089926,0.996259225059502,0.8375026845353544,0.7439699108910439
37.598,0.708,175.778,-14.804,-0.05830654401140764,-0.005231526392184237,0.065910624055266,-20.654,149.074,5.222,0.020759841863532205,-0.021733565362185306,-0.5643723370441751,19.229,155.464,1.141,-0.12872545119466913,-0.02924042010888713,-0.6573774104977474,0.9961068053646149,0.8249730579126477,0.7419094932765455
50.781,-0.061,175.635,-14.709,-0.05467805825566763,-0.002099709423228445,0.0700742103295357,-21.155,149.739,5.237,0.03313023980932582,-0.02435167931394104,-0.5715937934983152,18.954,155.521,1.203,-0.12447839670760463,-0.03460905179341008,-0.6587126364737469,0.996039911957558,0.8195058987944948,0.7412185945029109
63.965,-0.828,175.507,-14.601,-0.05219904563415925,0.0002624847319947334,0.07452209302601592,-21.828,150.108,5.594,0.05301780675779781,-0.02901083850079362,-0.5696064415137521,18.681,155.503,1.367,-0.11754589812375671,-0.03851099052855167,-0.6601748539420782,0.995852222163344,0.8196926162910791,0.7408569549281054
77.637,-1.629,175.376,-14.494,-0.048409956968640186,0.0029622763523961325,0.0778615161935475,-22.72,150.195,6.173,0.08391283306072089,-0.030640218975132465,-0.5682102591936316,18.518,155.283,1.846,-0.09608440663855307,-0.03943301412623221,-0.6540801475043668,0.995783754276574,0.8180201188088135,0.7492609591047056
91.064,-2.461,175.25,-14.387,-0.04390428642297351,0.004480144783786487,0.08245744238079387,-23.601,150.225,6.689,0.11392265407943522,-0.031155141413758386,-0.5743332551688257,18.559,154.58,3.019,-0.04107859427525094,-0.04136845798299006,-0.6328401652720875,0.9956169505047731,0.8100569721063863,0.7720845322857307
104.248,-3.274,175.138,-14.271,-0.039078535569636745,0.006449482112373554,0.08500888040003725,-24.433,150.283,7.11,0.13822928260113704,-0.02492708611750203,-0.5860868936158031,18.624,153.865,4.262,0.011911596669509191,-0.058259114933328374,-0.6037946500371604,0.9955926689622351,0.797980863768702,0.7949188700606316
117.676,-4.098,175.046,-14.153,-0.03455600150359269,0.007390638262161355,0.0877868993258017,-25.475,150.077,7.691,0.15491840919700522,-0.005998770799712103,-0.5965921719374099,18.705,152.703,6.058,0.06028434068842303,-0.10558806412066152,-0.5500255671874922,0.9955122910004292,0.7874275088055825,0.826249861980679
131.104,-4.925,174.975,-14.027,-0.028766947309901994,0.008691467196772305,0.08955557347690743,-26.767,149.689,8.448,0.15056079041754605,0.022604977729987513,-0.5993959248806128,18.648,151.156,8.214,0.053222339476669725,-0.18699278415675655,-0.4559507945466553,0.9955283624285443,0.7858403073189777,0.8685101923444585
143.799,-5.739,174.906,-13.897,-0.023933549598665924,0.010174794702445094,0.09039034646494346,-28.186,149.21,9.265,0.13180944196224026,0.05780010013467196,-0.5963963083655812,18.394,149.372,10.356,-0.032034470999232414,-0.25397919394855273,-0.3280074258287491,0.995566795359467,0.7896814945292383,0.9093291430006191
157.471,-6.558,174.839,-13.763,-0.018511440159468494,0.010339655316585466,0.09142329549640464,-29.722,148.293,10.468,0.09678030651916435,0.09052203387792397,-0.5748472207072541,17.82,146.871,12.575,-0.1780729912805696,-0.2457806690782334,-0.19116853523681415,0.9955863594644785,0.8074589813097667,0.9334540500845541
171.143,-7.372,174.758,-13.624,-0.012154833790830469,0.010101063044660012,0.09254209350786653,-31.167,147.107,11.874,0.0703366604395178,0.12802504120029917,-0.5366261127164951,17.101,144.101,14.007,-0.265957344616401,-0.15647405935566439,-0.15724080928447692,0.995583341297988,0.8310804763527183,0.9381140055925591
184.814,-8.187,174.676,-13.477,-0.0061656269001332704,0.008880978644295896,0.09372587461697622,-32.526,145.616,13.487,0.07342141778468357,0.1728650401544089,-0.46805919816190955,16.342,142.128,14.209,-0.24876181188366284,-0.04277686422666345,-0.1933590145136217,0.9955393380929408,0.8635088652231265,0.9481033658529074
198.242,-8.993,174.605,-13.337,-0.00015439412177573975,0.007616879215033674,0.09598688697966833,-33.781,143.822,15.077,0.1317009753696357,0.21324330428923505,-0.36848214049588734,15.597,142.419,13.274,-0.176714707684081,0.05077607759417265,-0.23002988909902433,0.9953534431755541,0.8952111808942428,0.9556568171437753
