Unnamed: 0,delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
5870,211.0,38.0732,154.21769999999998,-281.2714,-0.315577,-0.129699,0.005529,0.939978,24.6817,135.7459,-306.6191,-0.4447109999999999,0.357185,0.254536,-0.780937,58.9928,112.68129999999998,-319.7519,-0.025863,0.017169,0.14964,-0.988253
5871,222.00000000001455,38.0859,154.1974,-281.3154,-0.316283,-0.129219,0.006203,0.939803,24.8046,135.6176,-306.6195,-0.443735,0.359221,0.255341,-0.780295,58.7607,112.1106,-319.8083,-0.017693,0.017696,0.155202,-0.987566
5872,233.00000000000728,38.0996,154.17479999999998,-281.3594,-0.316906,-0.128707,0.00678,0.939659,24.9226,135.493,-306.6177,-0.442748,0.361071,0.2556719999999999,-0.7798930000000001,58.5232,111.5987,-319.86650000000003,-0.013472,0.017225,0.158629,-0.987096
5873,245.00000000000728,38.11179999999999,154.1468,-281.4047,-0.317709,-0.128217,0.007079,0.939453,25.0264,135.3872,-306.6014,-0.441862,0.362706,0.256115,-0.779492,58.28840000000001,111.1615,-319.9202,-0.010149,0.016484,0.161912,-0.986615
5874,255.00000000001455,38.1311,154.1155,-281.4537,-0.318246,-0.127665,0.0072829999999999,0.939344,25.1093,135.2975,-306.5946,-0.440817,0.364189,0.256146,-0.779382,58.0737,110.8668,-320.0091,-0.011698,0.01509,0.166188,-0.985909
5875,266.0000000000073,38.1508,154.0887,-281.493,-0.318951,-0.1271779999999999,0.007369,0.939171,25.1969,135.20829999999998,-306.577,-0.4396739999999999,0.365894,0.256,-0.779277,57.8537,110.535,-320.0962,-0.010351,0.014222,0.172228,-0.9849
5876,279.00000000001455,38.1729,154.0516,-281.5435,-0.319646,-0.12661,0.007429,0.939011,25.246799999999997,135.1546,-306.5594,-0.4388859999999999,0.3669,0.256152,-0.779198,57.6727,110.277,-320.1894,-0.008679,0.013605,0.177127,-0.984056
5877,288.00000000001455,38.1982,154.0212,-281.59650000000005,-0.320389,-0.12591,0.007663,0.93885,25.3212,135.0856,-306.5423,-0.4379909999999999,0.368209,0.25626,-0.779049,57.4956,110.0192,-320.288,-0.006578,0.0135,0.183304,-0.982942
5878,301.0000000000073,38.2223,153.9887,-281.6472,-0.321227,-0.125155,0.007892,0.938662,25.347900000000003,135.04940000000002,-306.53200000000004,-0.437515,0.368697,0.256242,-0.779091,57.3647,109.82479999999998,-320.3964,-0.004919,0.014144,0.188419,-0.981975
5879,311.0000000000073,38.24889999999999,153.9573,-281.69300000000004,-0.322096,-0.1243359999999999,0.0081269999999999,0.938471,25.3741,135.0169,-306.5186,-0.4369189999999999,0.369204,0.255897,-0.779299,57.24209999999999,109.6641,-320.5208,-0.004032,0.015391,0.192145,-0.981238
5880,322.0000000000073,38.2749,153.92870000000002,-281.74,-0.3230889999999999,-0.123556,0.008334,0.938231,25.3984,134.99110000000002,-306.5061,-0.4362609999999999,0.369489,0.255633,-0.779619,57.1172,109.49439999999998,-320.6349,-0.003544,0.016402,0.194465,-0.980766
5881,333.0,38.3049,153.89919999999998,-281.7823,-0.324031,-0.122707,0.008386,0.938018,25.406,134.9622,-306.511,-0.435546,0.369546,0.255418,-0.780062,57.0116,109.409,-320.7716,-0.00477,0.017412,0.191892,-0.98125
5882,344.00000000001455,38.3357,153.8743,-281.8157,-0.325009,-0.12194,0.008239,0.93778,25.3927,134.95649999999998,-306.5022,-0.434954,0.369528,0.255252,-0.780456,56.8998,109.3283,-320.9047,-0.006157,0.018397,0.1870119999999999,-0.982166
5883,356.00000000001455,38.3642,153.8462,-281.846,-0.325955,-0.121364,0.008023,0.937529,25.3775,134.9507,-306.4956,-0.434457,0.369437,0.255248,-0.780777,56.79729999999999,109.2685,-321.0362,-0.007175,0.019243,0.180301,-0.983397
5884,367.0000000000073,38.393,153.82039999999998,-281.8796,-0.326841,-0.120673,0.007775,0.937312,25.3467,134.9511,-306.4884,-0.433929,0.369334,0.255561,-0.7810159999999999,56.6913,109.1935,-321.1618,-0.0074719999999999,0.019101,0.17549,-0.984268
5885,378.0,38.42239999999999,153.7954,-281.9036,-0.327725,-0.120157,0.007361,0.937073,25.3223,134.9523,-306.49,-0.433546,0.369087,0.2559889999999999,-0.7812060000000001,56.587,109.1175,-321.2909,-0.007484,0.018641,0.173211,-0.98468
5886,389.00000000001455,38.4461,153.7751,-281.9307,-0.328338,-0.119755,0.007044,0.936912,25.301,134.9476,-306.4832,-0.4331569999999999,0.368984,0.256269,-0.781378,56.5106,109.0474,-321.43609999999995,-0.006622,0.017325,0.175305,-0.98434
5887,401.00000000001455,38.468,153.76080000000002,-281.9503,-0.328852,-0.1194109999999999,0.006604,0.936779,25.263400000000004,134.9436,-306.4891,-0.432896,0.368643,0.256704,-0.7815409999999999,56.44060000000001,108.9589,-321.5777,-0.005221,0.016546,0.178024,-0.983873
5888,412.0000000000073,38.488,153.7492,-281.9746,-0.329206,-0.119063,0.006195,0.936701,25.2162,134.9432,-306.48900000000003,-0.432691,0.368266,0.257127,-0.7816930000000001,56.39999999999999,108.8826,-321.692,-0.003186,0.017532,0.181307,-0.983265
5889,422.00000000001455,38.5026,153.748,-281.9922,-0.329417,-0.118877,0.005681,0.936654,25.163000000000004,134.95170000000002,-306.49850000000004,-0.43228,0.367749,0.257621,-0.7820010000000001,56.567,109.0327,-321.7486,-0.011138,0.02403,0.185728,-0.982244
5890,433.0000000000073,38.5166,153.74429999999998,-282.0047,-0.329559,-0.118695,0.005125,0.93663,25.1175,134.953,-306.504,-0.431816,0.36716,0.2581739999999999,-0.782352,56.4647,108.7992,-321.8839,-0.000837,0.02316,0.180596,-0.983284
5891,444.0000000000073,38.5307,153.7407,-282.0086,-0.329509,-0.1185809999999999,0.004676,0.936665,25.0608,134.9564,-306.5137,-0.431381,0.366553,0.258834,-0.782659,56.5701,108.7499,-322.03430000000003,0.00201,0.027437,0.179278,-0.983414
5892,455.0,38.5425,153.7417,-282.0151,-0.329592,-0.1183099999999999,0.004292,0.936672,25.0015,134.95569999999998,-306.5204,-0.430959,0.365784,0.259517,-0.7830239999999999,56.6847,108.7476,-322.1083,0.004347,0.031292,0.179547,-0.983242
5893,467.0,38.55,153.7423,-282.0093,-0.329504,-0.118172,0.00399,0.936721,24.9294,134.964,-306.52430000000004,-0.430634,0.365067,0.260336,-0.783267,56.7705,108.6912,-322.24,0.0067239999999999,0.0344579999999999,0.180346,-0.982976
5894,478.00000000001455,38.55659999999999,153.74290000000002,-282.0014,-0.329466,-0.118042,0.0037799999999999,0.936752,24.87239999999999,134.96200000000002,-306.5294,-0.4305819999999999,0.364277,0.260955,-0.783457,56.8732,108.7204,-322.3201,0.00873,0.035866,0.182894,-0.982439
5895,488.0,38.5627,153.74779999999998,-281.9816,-0.329381,-0.11779,0.003707,0.936814,24.80429999999999,134.973,-306.5255,-0.430571,0.363317,0.261598,-0.783694,56.9924,108.8176,-322.4145,0.009095,0.036577,0.183845,-0.982232
