delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
0,22.18361,171.9674,1095.37,-0.7005348338911432,0.3533824744260964,0.5698401987244267,0.24424152225062654,2.204132,121.8353,1082.668,-0.9240542688903415,0.2216591303896719,0.1731646095205963,0.2588531554182992,21.19465,110.6636,1087.3609999999999,-0.9052092259480489,0.32395124757370064,0.1195303250348517,0.2477182832393278
14,22.557450000000003,171.6178,1095.396,-0.6979243250426432,0.35538558697458633,0.5701546180412177,0.24804522291463832,2.212906,121.7682,1082.876,-0.9219062053034117,0.22499486468788193,0.17340182019988606,0.2634351309877096,21.679309999999997,109.91489999999999,1087.779,-0.9020964013097997,0.328914795276799,0.12914561161350305,0.24770658286146613
28,22.977449999999997,171.3028,1095.5230000000001,-0.6949753571396259,0.35696808830378096,0.5711152685538655,0.2518141912721357,2.226639,121.7422,1083.0629999999999,-0.9192568176193732,0.22798624703098572,0.17310903152573692,0.2702266412277857,22.196959999999997,109.1782,1088.195,-0.8985905696363671,0.3333833178891066,0.1381913544349769,0.24958706110947915
42,23.39211,170.9473,1095.54,-0.6917159505226794,0.3578572064361561,0.572775707027073,0.2557249558292131,2.239799,121.70080000000002,1083.2359999999999,-0.9166450618118863,0.23195077611886467,0.1726689933686219,0.2759458041768463,22.69802,108.43469999999999,1088.603,-0.8958465900504677,0.3369886437591013,0.15000175896948248,0.2477842072820865
55,23.84872,170.6147,1095.617,-0.688591257007696,0.35823503012765134,0.5746607928397626,0.25937370170234586,2.245712,121.6566,1083.386,-0.9142676617925382,0.23598687624050965,0.172131311448674,0.28070562598852694,23.20976,107.6766,1089.011,-0.8928999470398606,0.34123590686105276,0.16219047739165932,0.24491220771614208
70,24.31374,170.29080000000002,1095.688,-0.6856326308967694,0.3584965591692829,0.576431037008036,0.26289802602377826,2.232361,121.5781,1083.515,-0.9121729564413643,0.2399439714867812,0.17029941388149192,0.2852463807233874,23.735049999999998,106.9229,1089.4170000000001,-0.8893541323907553,0.34599321780278747,0.17523235053369587,0.2421395130093303
83,24.76044,169.93259999999998,1095.702,-0.6829442450739573,0.35904113176854013,0.5777015114502996,0.2663411111465287,2.2142410000000003,121.4923,1083.6209999999999,-0.910370150882744,0.24408955116854766,0.1671761696337482,0.2893071165710498,24.2775,106.1928,1089.818,-0.8860639091205171,0.34902721006202836,0.19023507289357447,0.23849816064607499
98,25.200840000000003,169.5709,1095.7549999999999,-0.6805959063754057,0.3595452758153155,0.5786993923748137,0.26948732832723354,2.191162,121.3966,1083.726,-0.9088301706071825,0.2481529573759411,0.16547607110761342,0.2916599057643712,24.827189999999998,105.4754,1090.214,-0.8834267580533612,0.3501391335010212,0.20622067061054378,0.23330834824201951
111,25.59547,169.2293,1095.844,-0.6785807459238429,0.36033704562922375,0.5791820532477001,0.2724583160860053,2.1718979999999997,121.3054,1083.8200000000002,-0.9072784367021868,0.25144601670167593,0.16411658570668852,0.29442568718791445,25.3685,104.7534,1090.5910000000001,-0.880877985496834,0.35116875091497873,0.2205316748940554,0.228254821233366
125,25.97084,168.90259999999998,1095.899,-0.6765365627313058,0.36111504298584673,0.5797205768801306,0.27535115354544754,2.158165,121.2006,1083.909,-0.9055679173472635,0.25426510459247503,0.16216571574715244,0.29832580226009864,25.91209,104.01910000000001,1090.962,-0.8779966784019844,0.3527630176672264,0.2335271519858217,0.22393113978807289
